name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
ho chi minh,2022-03-12T00:00:00,27,28.8,21,69.73,0,0,,0,0,15.5,7.6,200,1008,50,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-03-12T01:00:00,26.8,29,22.1,75.18,0,0,,0,0,19.4,3.6,238.2,1007,48.1,10.9,0,,0,3,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
ho chi minh,2022-03-12T02:00:00,26,26,23,83.56,0,0,,0,0,19.4,9.4,200,1007,50,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-03-12T03:00:00,26,26,23,83.56,0,0,,0,0,19.4,7.6,210,1006,50,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-03-12T04:00:00,25,25,23,88.93,0,0,,0,0,18,7.6,290,1007,53.8,10.9,0,,0,10,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
ho chi minh,2022-03-12T05:00:00,25,25,23,88.68,0,0,,0,0,11.5,7.6,280,1007,27,8,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-03-12T06:00:00,25,25,23,88.68,0,0,,0,0,4.3,3.6,300,1008,50,7,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-03-12T07:00:00,25.9,25.9,23,84.17,0,0,,0,0,7.6,1.8,320,1008,53.8,8.2,9,0,0,10,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-03-12T08:00:00,27,29.6,23,78.78,0,0,,0,0,7.9,1.8,250.6,1009,0,8,293,1.1,3,10,Clear,clear-day,"48900099999,VVTS"
ho chi minh,2022-03-12T09:00:00,28,31.2,23,74.3,0,0,,0,0,6.5,5.4,272.3,1009,50,8,416,1.5,4,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-03-12T10:00:00,29.9,33.3,22.1,62.98,0,0,,0,0,6.5,9.4,30,1009,88,9.1,527,1.9,5,10,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-03-12T11:00:00,31,34.5,22,58.81,0,0,,0,0,7.6,9.4,20,1009,50,8,621,2.2,6,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-03-12T12:00:00,32,34.9,21,52.26,0,0,,0,0,11.2,11.2,360,1008,50,8,666,2.4,7,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-03-12T13:00:00,32,35,21.1,52.57,0,0,rain,0,0,12.2,10.4,42,1007,88.9,9.1,655,2.4,7,10,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-03-12T14:00:00,32,34.1,20,49.14,0,0,rain,0,0,8.6,3.6,81.8,1006,88.8,8,419,1.5,4,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-03-12T15:00:00,29,32,22,65.97,0,0,,0,0,7.9,24.1,140,1006,50,8,463,1.7,5,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-03-12T16:00:00,25.9,25.9,25,94.49,0,0,,0,0,13,14.4,148,1006.1,89.9,5.8,394,1.4,4,10,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-03-12T17:00:00,27,30.6,25,88.84,0,0,,0,0,22.7,13,140,1006,88.8,8,335,1.2,3,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-03-12T18:00:00,28,32.7,25,83.79,0,0,,0,0,23.8,5.4,86.2,1006,88.8,8,277,1,3,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-03-12T19:00:00,26.9,30.4,24.9,89.08,3,100,rain,0,0,16.6,5.8,140,1007,88.9,10.9,231,0.8,0,10,"Rain, Partially cloudy",rain,"48894099999,48900099999,VVTS"
ho chi minh,2022-03-12T20:00:00,27,30.1,24,83.68,0,0,,0,0,13,5.4,97.2,1007,88.8,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-03-12T21:00:00,27,30.1,24,83.68,0,0,,0,0,13.7,11.2,130,1008,88.8,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-03-12T22:00:00,26.9,29.9,24,84.38,0,0,,0,0,12.6,5.4,118.2,1008,52.8,10.9,0,,0,10,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
ho chi minh,2022-03-12T23:00:00,27,30.1,24,83.68,0,0,,0,0,13,3.6,133.1,1007,50,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
