name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
ho chi minh,2020-01-01,34.5,22,28.6,33.9,22,29.4,18.6,57.5,0,0,0,,,,,18.4,73,1015,30.8,9.8,259.1,22.6,9,,2020-01-01T06:11:17,2020-01-01T17:41:32,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2020-01-02,35.1,23,28.8,36.4,23,30.3,20,61.3,0,0,0,,,,,16.2,94.1,1016,35.2,9.7,234.6,20.2,8,,2020-01-02T06:11:41,2020-01-02T17:42:04,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2020-01-03,34,23.6,28.5,34.9,23.6,29.4,20.2,63.7,0,0,0,,,,,12.8,127.9,1014.1,32.6,10.2,151.5,13.1,5,,2020-01-03T06:12:04,2020-01-03T17:42:37,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2020-01-04,33,23.6,27.7,33.8,23.6,28.5,20.7,68.4,0,0,0,,,,,13,112.5,1012.5,37.5,10,128.5,10.9,5,,2020-01-04T06:12:27,2020-01-04T17:43:10,0.31,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2020-01-05,32.5,22.6,27.2,33,22.6,28,20.1,67.1,0,0,0,,,,,11.9,160.3,1012.4,24.6,9.9,253.1,21.9,9,,2020-01-05T06:12:49,2020-01-05T17:43:43,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2020-01-06,33.4,23,27.9,34.2,23,28.9,20.4,66.6,0,0,0,,,,,13,121.3,1013.2,34.7,9.2,251.1,21.8,9,,2020-01-06T06:13:10,2020-01-06T17:44:15,0.4,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2020-01-07,34.6,24,29.4,36.2,24,31,21,62.9,0,0,0,,,,,14,109.3,1011.7,44.1,9.6,245.5,21.3,9,,2020-01-07T06:13:30,2020-01-07T17:44:48,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2020-01-08,34.6,25,28.8,37,25,30.6,22.4,71.2,0,0,0,,,,,13.4,100.2,1012.1,42.7,9.5,244.5,21.2,9,,2020-01-08T06:13:49,2020-01-08T17:45:21,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2020-01-09,34.8,23.6,28.4,36.6,23.6,29.5,20.9,67.1,0,0,0,,,,,18.8,117.2,1010.4,30.9,9.6,244.3,21,9,,2020-01-09T06:14:08,2020-01-09T17:45:53,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2020-01-10,34,23.6,28.7,35.7,23.6,29.9,20.5,63.5,0,0,0,,,,,15.8,131.5,1010,28,10.1,244.3,21.2,9,,2020-01-10T06:14:26,2020-01-10T17:46:25,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2020-01-11,32,24,27.9,34.7,24,29.8,22.7,74.8,0,0,0,,,,,14.8,221.3,1010.3,40.4,8.6,220.7,19,8,,2020-01-11T06:14:42,2020-01-11T17:46:57,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
