Ngay,NhietDoToiDa,NhietDoToiThieu,NhietDo,NhietDoCamGiac,SuongMu,DoAm,Mua,XacSuatMua,LuongMua,TocDoGio,HuongGio,ApSuat,MayBaoPhu,TamNhin,ChiSoUV,KetLuan
1/1/2020,34.5,22,28.6,29.4,18.6,57.5,0,0,0,18.4,73,1015,30.8,9.8,9,Co may
1/2/2020,35.1,23,28.8,30.3,20,61.3,0,0,0,16.2,94.1,1016,35.2,9.7,8,Co may
1/3/2020,34,23.6,28.5,29.4,20.2,63.7,0,0,0,12.8,127.9,1014.1,32.6,10.2,5,Co may
1/4/2020,33,23.6,27.7,28.5,20.7,68.4,0,0,0,13,112.5,1012.5,37.5,10,5,Co may
1/5/2020,32.5,22.6,27.2,28,20.1,67.1,0,0,0,11.9,160.3,1012.4,24.6,9.9,9,Co may
1/6/2020,33.4,23,27.9,28.9,20.4,66.6,0,0,0,13,121.3,1013.2,34.7,9.2,9,Co may
1/7/2020,34.6,24,29.4,31,21,62.9,0,0,0,14,109.3,1011.7,44.1,9.6,9,Co may
1/8/2020,34.6,25,28.8,30.6,22.4,71.2,0,0,0,13.4,100.2,1012.1,42.7,9.5,9,Co may
1/9/2020,34.8,23.6,28.4,29.5,20.9,67.1,0,0,0,18.8,117.2,1010.4,30.9,9.6,9,Co may
1/10/2020,34,23.6,28.7,29.9,20.5,63.5,0,0,0,15.8,131.5,1010,28,10.1,9,Co may
1/11/2020,32,24,27.9,29.8,22.7,74.8,0,0,0,14.8,221.3,1010.3,40.4,8.6,8,Co may
1/12/2020,31.8,24.4,27.4,29,22.8,77.2,10,100,4.17,17.3,168.7,1010.5,51.7,8.9,8,"Mua, Co may"
1/13/2020,34,23,27.6,27.9,19.6,65.9,0.4,100,8.33,16.9,112.8,1010.3,30.8,9.3,9,"Mua, Co may"
1/14/2020,33.6,23,27,27.3,18.8,63.8,0,0,0,20.2,171.5,1011.8,24.3,8.7,9,Co may
1/15/2020,34,21.6,27.5,27.8,18.6,61.9,0,0,0,18.4,106.9,1011.8,24.2,9.4,9,Co may
1/16/2020,34,22.6,28.1,29.2,20.7,67.4,0,0,0,14.8,135.5,1012.1,36.4,7.6,8,Co may
1/17/2020,34,24.3,28.2,29.4,21,68,0,0,0,18.4,113.1,1012.8,38.5,8.1,8,Co may
1/18/2020,31.9,23.6,27.2,28.5,21.3,71.5,0,0,0,18.4,156.2,1012.5,38.9,7.9,8,Co may
1/19/2020,33.6,23,27.9,28.7,20.2,65.7,0,0,0,19.6,111.2,1012.8,32,9.1,8,Co may
1/20/2020,34,23,28.4,29.3,19.9,62.9,0,0,0,17.6,141.1,1013.6,28,9.6,9,Co may
1/21/2020,35.4,25,29.4,30.2,19.3,57.4,0,0,0,19.2,121.3,1014.7,30.5,9.9,9,Co may
1/22/2020,33.8,24,28.9,30.1,20.1,60.7,0,0,0,16.9,119.4,1013.8,35.5,10.3,9,Co may
1/23/2020,34,25,29,29.4,17.7,51.9,0,0,0,17.3,125.3,1012.8,42.4,10.3,9,Co may
1/24/2020,34.6,23,28.4,28.6,17.9,55.5,0,0,0,18.8,116.5,1012.6,28.9,10.3,9,Co may
1/25/2020,33.4,24.6,28.1,29.1,21,67.6,0,0,0,21.3,141.9,1011.5,32.3,10.1,9,Co may
1/26/2020,33.4,24,27.8,28.6,21.9,73.2,0,0,0,17.6,140.8,1011.1,36.4,10.3,9,Co may
1/27/2020,32,24.9,27.4,28.3,22,74.3,0,0,0,21.2,143.5,1011.2,42.7,10.3,9,Co may
1/28/2020,32,24,27.2,28.1,21.4,72.5,0,0,0,18.4,144,1011.6,45.9,10.3,9,Co may
1/29/2020,32.6,23.9,27.4,28.5,21.7,73,0,0,0,18.8,137.4,1012.8,45.9,10.3,9,Co may
1/30/2020,33,24,27.7,28.8,21.5,71,0.2,100,8.33,16.6,186,1012.3,48.6,10.2,9,"Mua, Co may"
1/31/2020,31,23,26.9,27.9,20.5,69.1,0.3,100,12.5,15.5,136.4,1013,50.2,9.7,9,"Mua, Co may"
2/1/2020,31.4,24,27.2,27.5,18.2,59,0,0,0,15.4,141.9,1013.6,49,10,9,Co may
2/2/2020,31.6,22,26.5,26.9,18.7,64,0,0,0,13.1,160.2,1014.7,35.7,9.3,9,Co may
2/3/2020,33,21.4,27.1,27.2,17.9,60.9,0,0,0,19.2,101.6,1014,36.1,9.5,9,Co may
2/4/2020,34.6,22,27.6,27.8,18.2,60.1,0,0,0,23.4,114,1012.7,31.6,10,9,Co may
2/5/2020,33.6,22,27.6,27.7,17.7,57.4,0,0,0,17.6,115.5,1012.3,30.3,10,9,Co may
2/6/2020,32,22.2,27,26.8,15.2,50.3,0,0,0,17.6,129,1013.4,23.7,10.3,9,Co may
2/7/2020,34.4,22.6,27.7,27.6,17,56.7,0,0,0,17.6,106.2,1013.6,14.8,9.7,10,Khong co may
2/8/2020,34.4,22,27.8,28.7,19.3,63.1,0,0,0,15.8,148.3,1013.4,39.1,10,8,Co may
2/9/2020,31.8,25,28.5,29.1,18.2,54.5,0.1,100,4.17,15.1,51.1,1013.3,51.5,10.1,7,"Mua, Co may"
2/10/2020,32.9,23,27.8,28.2,17.5,54.9,0,0,0,13,130.9,1013.5,45.6,10.1,8,Co may
2/11/2020,34.9,23,29,30.1,19.8,60.2,0,0,0,23.4,116.5,1013.9,43.4,10.3,9,Co may
2/12/2020,34.9,26,29.6,31.2,20.1,58.1,0,0,0,23.4,121.6,1013.5,35.2,10.3,10,Co may
2/13/2020,35.2,25.6,29,30.5,21.9,68.1,0,0,0,20.9,139.2,1012.7,30,10.3,10,Co may
2/14/2020,32.1,25,27.8,29.5,22.4,73.6,0,0,0,16.6,153.8,1011.6,46.2,10.3,10,Co may
2/15/2020,32.4,24.9,28.2,29.7,21.6,69,0,0,0,20.9,154.6,1012.3,41.3,10.3,10,Co may
2/16/2020,34.6,24,28.8,31,22.6,71.3,0,0,0,17.3,159.5,1013.1,47.2,10.3,9,Co may
2/17/2020,36,24.4,28.7,30.9,23,74.3,0,0,0,18.5,95.8,1013.8,58.2,9.3,9,Co may
2/18/2020,33,25,28.2,29.1,20.6,66.2,0.9,100,4.17,15.8,118.6,1014,52.8,9.3,10,"Mua, Co may"
2/19/2020,35,22,27.9,28.1,17.6,56.5,0,0,0,19.2,90.9,1014.1,31.1,9.6,10,Co may
2/20/2020,34,22.6,28.2,28.6,18.9,60.8,0,0,0,16.4,189.3,1014,40.4,8.6,10,Co may
2/21/2020,34.7,23.5,29,29.3,17.5,51.8,0,0,0,19.2,74.8,1015.1,36.8,10.3,10,Co may
2/22/2020,34.6,22,28.2,28.2,16.4,51.5,0.1,100,4.17,17.3,64.6,1015.7,25,10.2,10,"Mua, Co may"
2/23/2020,34.6,23,28.1,28.2,16.2,50.2,0,0,0,18.9,73,1014.9,26.7,10.3,10,Co may
2/24/2020,34.6,22.1,28.1,28,16.2,51.3,0,0,0,16.6,82.9,1013.3,33.8,9.7,10,Co may
2/25/2020,33.9,23,28.4,29,18.4,57.1,0,0,0,18.4,147.4,1011.9,33.6,9.8,10,Co may
2/26/2020,35.2,24,29.1,30.2,19.6,58.6,0,0,0,20.9,95.2,1012.1,35.5,9.4,9,Co may
2/27/2020,34.9,24,29.1,29.6,18.2,54,0,0,0,23.1,115.8,1011.3,34.3,9.9,10,Co may
2/28/2020,35,23.4,28.5,28.8,17.5,53.3,0,0,0,19.6,176.2,1011.1,24.3,10.3,10,Co may
2/29/2020,34.3,24.6,28.8,29.8,19.2,57.7,0,0,0,18.3,117.9,1010.5,38,10.3,10,Co may
3/1/2020,34.8,25.6,29.4,31,20.4,59.9,0,0,0,18.9,125.9,1010.9,41.1,10.3,10,Co may
3/2/2020,35,25.9,29.5,31.2,20.7,60.7,0.1,100,4.17,24.5,130.2,1010.8,39.5,10.3,9,"Mua, Co may"
3/3/2020,35,25.6,29.2,30.7,19.8,58.3,0,0,0,21.3,112.5,1011,39.2,10.2,9,Co may
3/4/2020,34,25.9,28.9,30.3,20.5,62.1,0,0,0,21.6,133,1011.2,39.6,10.3,9,Co may
3/5/2020,34,25.9,29.1,30.3,20.5,61.7,0,0,0,22,137.1,1011.8,41.4,10.3,8,Co may
3/6/2020,34.1,26,28.7,29.7,20.5,63,0,0,0,15.8,132.8,1013.1,42.3,10.3,8,Co may
3/7/2020,34.2,25.5,28.6,30.2,21.9,69.4,0,0,0,19.5,142.1,1012.7,31.1,10,9,Co may
3/8/2020,34.4,26,29.4,32.2,23.1,71.2,0,0,0,15.1,207.8,1010.5,39.3,10.3,9,Co may
